sample ID;serial number ;return container;Container;sample type;weight (g)
71043;NA;SCB1;DB455;2-4mm fines;6.19
71044;NA;SCB1;DB455;4-10mm fines;12.84
71045;NA;SCB1;DB455;medium basalt;11.92
71046;NA;SCB1;DB455;medium basalt;3.037
71047;NA;SCB1;DB455;coarse basalt;2.78
71048;NA;SCB1;DB455;fine basalt;2.457
71049;NA;SCB1;DB455;fine basalt;1.86
71050;NA;SCB1;DB454;DB residue ;4
71055;NA;SCB1;DB454;medium basalt;669.6
71060;NA;SCB1;DB456;unsieved fines ;199.4
71061;NA;SCB1;DB456;<1mm fines;229.2
71062;NA;SCB1;DB456;1-2mm fines;20.74
71063;NA;SCB1;DB456;2-4mm fines;22.79
71064;NA;SCB1;DB456;4-10mm fines;34.35
71065;NA;SCB1;DB456;fine basalt;28.83
71066;NA;SCB1;DB456;fine basalt;19.96
71067;NA;SCB1;DB456;medium basalt;4.245
71068;NA;SCB1;DB456;medium basalt;4.208
71069;NA;SCB1;DB456;fine basalt;4.058
71075;NA;SCB1;DB455;medium basalt;1.563
71085;NA;SCB1;DB456;medium basalt;3.402
71086;NA;SCB1;DB456;fine basalt;3.329
71087;NA;SCB1;DB456;fine basalt;2.2
71088;NA;SCB1;DB456;fine basalt;2.064
71089;NA;SCB1;DB456;medium basalt;1.733
71095;NA;SCB1;DB456;medium basalt;1.483
71096;NA;SCB1;DB456;medium basalt;1.368
71097;NA;SCB1;DB456;medium basalt;1.355
71130;NA;SCB1;DB477;unsieved fines ;49.51
71131;NA;SCB1;DB477;<1mm fines;86.4
71132;NA;SCB1;DB477;1-2mm fines;3.99
